Name of the State / UTs,2014-15*
Chandigarh,1052
Delhi,1561
Haryana,1909
Himachal Pradesh,1336
Jammu & Kashmir,1169
Punjab,1858
Rajasthan,1123
Uttar Pradesh,502
Uttarakhand,1358
Chhattisgarh,1719
Gujarat,2105
Madhya Pradesh,813
Maharashtra,1257
Daman & Diu,6960
D. & N. Haveli,13769
Goa,1803
Andhra Pradesh,1040
Telangana,1356
Karnataka,1211
Kerala,672
Tamil Nadu,1616
Puducherry,1655
Lakshadweep,657
Bihar,203
Jharkhand,835
Odisha,1419
West Bengal,647
Sikkim,685
A.& N. Islands,361
Arunachal Pradesh,525
Assam,314
Manipur,295
Meghalaya,704
Mizoram,449
Nagaland,311
Tripura,303
Total All India,1010
