state,ward_id,month,consumption_kwh
Chandigarh,W1,2014-04,20.99
Chandigarh,W1,2014-05,21.26
Chandigarh,W1,2014-06,19.68
Chandigarh,W1,2014-07,21.87
Chandigarh,W1,2014-08,21.63
Chandigarh,W1,2014-09,19.59
Chandigarh,W1,2014-10,17.76
Chandigarh,W1,2014-11,16.54
Chandigarh,W1,2014-12,17.05
Chandigarh,W1,2015-01,17.44
Chandigarh,W1,2015-02,17.48
Chandigarh,W1,2015-03,21.44
Chandigarh,W2,2014-04,0.51
Chandigarh,W2,2014-05,0.47
Chandigarh,W2,2014-06,0.49
Chandigarh,W2,2014-07,0.51
Chandigarh,W2,2014-08,0.47
Chandigarh,W2,2014-09,0.45
Chandigarh,W2,2014-10,0.42
Chandigarh,W2,2014-11,0.41
Chandigarh,W2,2014-12,0.4
Chandigarh,W2,2015-01,0.43
Chandigarh,W2,2015-02,0.46
Chandigarh,W2,2015-03,0.5
Chandigarh,W3,2014-04,15.78
Chandigarh,W3,2014-05,14.98
Chandigarh,W3,2014-06,15.45
Chandigarh,W3,2014-07,17.93
Chandigarh,W3,2014-08,15.63
Chandigarh,W3,2014-09,15.39
Chandigarh,W3,2014-10,14.64
Chandigarh,W3,2014-11,14.41
Chandigarh,W3,2014-12,12.8
Chandigarh,W3,2015-01,14.21
Chandigarh,W3,2015-02,15.33
Chandigarh,W3,2015-03,17.36
Chandigarh,W4,2014-04,12.39
Chandigarh,W4,2014-05,12.64
Chandigarh,W4,2014-06,12.38
Chandigarh,W4,2014-07,12.55
Chandigarh,W4,2014-08,13.26
Chandigarh,W4,2014-09,10.7
Chandigarh,W4,2014-10,11.07
Chandigarh,W4,2014-11,10.01
Chandigarh,W4,2014-12,9.31
Chandigarh,W4,2015-01,10.63
Chandigarh,W4,2015-02,11.55
Chandigarh,W4,2015-03,12.67
Chandigarh,W5,2014-04,2.92
Chandigarh,W5,2014-05,2.73
Chandigarh,W5,2014-06,2.88
Chandigarh,W5,2014-07,2.87
Chandigarh,W5,2014-08,2.67
Chandigarh,W5,2014-09,2.65
Chandigarh,W5,2014-10,2.38
Chandigarh,W5,2014-11,2.6
Chandigarh,W5,2014-12,2.29
Chandigarh,W5,2015-01,2.53
Chandigarh,W5,2015-02,2.11
Chandigarh,W5,2015-03,2.95
Chandigarh,W6,2014-04,1.41
Chandigarh,W6,2014-05,1.57
Chandigarh,W6,2014-06,1.58
Chandigarh,W6,2014-07,1.52
Chandigarh,W6,2014-08,1.5
Chandigarh,W6,2014-09,1.42
Chandigarh,W6,2014-10,1.29
